"County_Name","Sub-county_Name","Crop_Year","Season","Crop","Area","Production","cat_crop"
"Kwale","Sub-county_Name_KINANGO","2017","Short Rains","Crop_Cashew Nuts Processed","5954","4541","Crop_Cashew Nuts Processed"
"Kitui","Sub-county_Name_MWINGI WEST","2021","Short Rains","Crop_Cashew Nuts Processed","8927","2778","Crop_Cashew Nuts Processed"
"Samburu","Sub-county_Name_SAMBURU WEST","2025","Short Rains","Crop_Guar seed","7274","3771","Crop_Guar seed"
"Bomet","Sub-county_Name_BOMET CENTRAL","2008","Long Rains","Crop_Maize","7194","5963","Crop_Maize"
"Kilifi","Sub-county_Name_MALINDI","2015","Long Rains","Crop_Pome Fruit","7382","3479","Crop_Pome Fruit"
"Kitui","Sub-county_Name_KITUI WEST","2017","Autumn","Crop_Pumpkin","999","3522","Crop_Pumpkin"
"West Pokot","Sub-county_Name_WEST POKOT","2003","Spring","Crop_Pumpkin","1833","5911","Crop_Pumpkin"
"Tana River","Sub-county_Name_GALOLE","2021","Short Rains","Crop_Sorghum","1255","6039","Crop_Sorghum"
"Garissa","Sub-county_Name_FAFI","2022","Short Rains","Crop_Rubber","4685","3485","Crop_Rubber"
"Machakos","Sub-county_Name_MACHAKOS TOWN","2009","Short Rains","Crop_Castor seed","359","5740","Crop_Castor seed"
"Kericho","Sub-county_Name_SOIN/SIGOWET","2018","Autumn","Crop_Papaya","2914","6307","Crop_Papaya"
"Mombasa","Sub-county_Name_CHANGAMWE","2001","Autumn","Crop_Pumpkin","3814","5049","Crop_Pumpkin"
"Kiambu","Sub-county_Name_JUJA","2020","Short Rains","Crop_Cowpeas","9527","6285","Crop_Cowpeas"
"Kirinyaga","Sub-county_Name_KIRINYAGA WEST","2005","Winter","Crop_Other Fresh Fruits","824","6055","Crop_Other Fresh Fruits"
"Meru","Sub-county_Name_TIGANIA EAST","2008","Long Rains","Crop_Cabbage","3701","1519","Crop_Cabbage"
"Trans Nzoia","Sub-county_Name_KWANZA","2008","Long Rains","Crop_Wheat","2763","4146","Crop_Wheat"
"Machakos","Sub-county_Name_MAVOKO","2010","Short Rains","Crop_Cabbage","5599","6962","Crop_Cabbage"
"Kisumu","Sub-county_Name_SEME","2016","Short Rains","Crop_Bottle Gourd","8082","8768","Crop_Bottle Gourd"
"Vihiga","Sub-county_Name_LUANDA","2008","Short Rains","Crop_Jute","2570","2578","Crop_Jute"
"Migori","Sub-county_Name_SUNA EAST","2012","Long Rains","Crop_Common Beans & Mung Beans (Vegetable)","7829","1194","Crop_Common Beans & Mung Beans (Vegetable)"
"Mandera","Sub-county_Name_MANDERA WEST","2001","Short Rains","Crop_Carrots","8862","3198","Crop_Carrots"
"Garissa","Sub-county_Name_FAFI","2016","Spring","Crop_Mung Beans","3017","8660","Crop_Mung Beans"
"Makueni","Sub-county_Name_KIBWEZI EAST","2019","Short Rains","Crop_Onions","2595","3680","Crop_Onions"
"Nyeri","Sub-county_Name_MATHIRA EAST","2008","Autumn","Crop_Common Beans & Mung Beans (Vegetable)","8842","3544","Crop_Common Beans & Mung Beans (Vegetable)"
"Tana River","Sub-county_Name_BURA","2003","Long Rains","Crop_Soya Beans","9328","1487","Crop_Soya Beans"
"Homa Bay","Sub-county_Name_HOMABAY TOWN","2014","Long Rains","Crop_Coriander","8290","4614","Crop_Coriander"
"Kilifi","Sub-county_Name_MAGARINI","2011","Short Rains","Crop_Mangoes","6268","4976","Crop_Mangoes"
"Bungoma","Sub-county_Name_MT ELGON","2009","Short Rains","Crop_Cabbage","4943","4920","Crop_Cabbage"
"Kirinyaga","Sub-county_Name_MWEA EAST","2005","Long Rains","Crop_Maize","512","8798","Crop_Maize"
"Vihiga","Sub-county_Name_UGUNJA","2024","Spring","Crop_Oranges","506","7832","Crop_Oranges"
"Nyandarua","Sub-county_Name_NDARAGWA","2007","Long Rains","Crop_Sweet Potatoes","3357","3248","Crop_Sweet Potatoes"
"Narok","Sub-county_Name_TRANSMARA WEST","2013","Long Rains","Crop_Snake Gourd","7612","1701","Crop_Snake Gourd"
"Embu","Sub-county_Name_MANYATTA","2018","Spring","Crop_Mung Beans","6129","4822","Crop_Mung Beans"
"Machakos","Sub-county_Name_YATTA","2017","Short Rains","Crop_Other Kharif pulses","1862","7447","Crop_Other Kharif pulses"
"Kitui","Sub-county_Name_MWINGI NORTH","1998","Autumn","Crop_Jackfruit","561","1479","Crop_Jackfruit"
"Tharaka Nithi","Sub-county_Name_THARAKA NORTH","2020","Long Rains","Crop_Onions","3965","6153","Crop_Onions"
"Homa Bay","Sub-county_Name_KABONDO KASIPUL","2014","Long Rains","Crop_Coconut","1306","8699","Crop_Coconut"
"Garissa","Sub-county_Name_BALAMBALA","2003","Long Rains","Crop_Mesta","4087","3491","Crop_Mesta"
"Kiambu","Sub-county_Name_KIKUYU","2012","Short Rains","Crop_Rice","9124","4648","Crop_Rice"
"Nairobi","Sub-county_Name_KIBRA","2007","Long Rains","Crop_Bananas","1038","4564","Crop_Bananas"
"Kirinyaga","Sub-county_Name_MWEA EAST","2024","Winter","Crop_other oilseeds","4261","5097","Crop_other oilseeds"
"West Pokot","Sub-county_Name_WEST POKOT","2008","Short Rains","Crop_Dry Chillies","5938","4675","Crop_Dry Chillies"
"Nyandarua","Sub-county_Name_NDARAGWA","2024","Autumn","Crop_Papaya","6831","8915","Crop_Papaya"
"West Pokot","Sub-county_Name_WEST POKOT","2019","Short Rains","Crop_Sweet Potatoes","6147","5283","Crop_Sweet Potatoes"
"Machakos","Sub-county_Name_MWALA","2019","Long Rains","Crop_Cowpeas","379","4737","Crop_Cowpeas"
"Narok","Sub-county_Name_NAROK EAST","2021","Spring","Crop_Tomatoes","8055","8164","Crop_Tomatoes"
"Mombasa","Sub-county_Name_NYALI","2008","Long Rains","Crop_other oilseeds","8031","2978","Crop_other oilseeds"
"Nandi","Sub-county_Name_NANDI HILLS","2011","Short Rains","Crop_Potatoes","1168","4040","Crop_Potatoes"
"Nandi","Sub-county_Name_TINDIRET","2025","Short Rains","Crop_Peas & Beans (Pulses)","5362","2952","Crop_Peas & Beans (Pulses)"
"Makueni","Sub-county_Name_KIBWEZI WEST","2005","Long Rains","Crop_Cashew Nuts Processed","9922","8919","Crop_Cashew Nuts Processed"
"Lamu","Sub-county_Name_LAMU EAST","2018","Autumn","Crop_Onions","8529","3582","Crop_Onions"
"Kericho","Sub-county_Name_SOIN/SIGOWET","1999","Short Rains","Crop_Cabbage","6871","8827","Crop_Cabbage"
"Kisii","Sub-county_Name_KITUTU CHACHE SOUTH","2022","Autumn","Crop_Castor seed","6215","9881","Crop_Castor seed"
"Nandi","Sub-county_Name_MOSOP","2008","Short Rains","Crop_Maize (Processed)","1137","1332","Crop_Maize (Processed)"
"Lamu","Sub-county_Name_LAMU WEST","1999","Short Rains","Crop_Finger Millet","9124","5536","Crop_Finger Millet"
"Kilifi","Sub-county_Name_RABAI","2006","Short Rains","Crop_Cotton(lint)","8008","9412","Crop_Cotton(lint)"
"Siaya","Sub-county_Name_ALEG USONGA","2018","Short Rains","Crop_Cowpeas","3434","7086","Crop_Cowpeas"
"Murang’a","Sub-county_Name_KIHARU","2001","Short Rains","Crop_Sunflower","626","5667","Crop_Sunflower"
"Kirinyaga","Sub-county_Name_KIRINYAGA WEST","2001","Long Rains","Crop_other oilseeds","3380","7807","Crop_other oilseeds"
"Homa Bay","Sub-county_Name_KABONDO KASIPUL","2005","Short Rains","Crop_Rice","2989","7191","Crop_Rice"
"Turkana","Sub-county_Name_TURKANA NORTH","2017","Spring","Crop_Sunflower","5187","7264","Crop_Sunflower"
"Nairobi","Sub-county_Name_KAMUKUNJI","2018","Autumn","Crop_Groundnuts","6901","5640","Crop_Groundnuts"
"Nairobi","Sub-county_Name_LANG'ATA","2004","Winter","Crop_Tea","5648","4234","Crop_Tea"
"Kirinyaga","Sub-county_Name_MWEA WEST","2019","Long Rains","Crop_Cashew Nuts Raw","7713","4129","Crop_Cashew Nuts Raw"
"Lamu","Sub-county_Name_LAMU EAST","2017","Short Rains","Crop_Pome Fruit","3402","2347","Crop_Pome Fruit"
"Kitui","Sub-county_Name_MWINGI WEST","2014","Spring","Crop_Maize (Processed)","8476","2574","Crop_Maize (Processed)"
"Nyamira","Sub-county_Name_MANGA","2019","Short Rains","Crop_Tomatoes","2511","1194","Crop_Tomatoes"
"Nyamira","Sub-county_Name_MASABA NORTH","2010","Long Rains","Crop_Guar seed","8997","9066","Crop_Guar seed"
"Kakamega","Sub-county_Name_NAVAKHOLO","2003","Winter","Crop_Cashew Nuts","2672","2674","Crop_Cashew Nuts"
"Kwale","Sub-county_Name_LUNGA LUNGA","2019","Long Rains","Crop_Coconut (Raw)","625","9791","Crop_Coconut (Raw)"
"Nakuru","Sub-county_Name_KURESOI SOUTH","2013","Long Rains","Crop_Groundnuts","6451","6289","Crop_Groundnuts"
"Turkana","Sub-county_Name_TURKANA CENTRAL","2011","Short Rains","Crop_Potatoes","5847","2844","Crop_Potatoes"
"Mandera","Sub-county_Name_MANDERA SOUTH","2003","Autumn","Crop_Niger seed","6706","8581","Crop_Niger seed"
"Tana River","Sub-county_Name_BURA","1999","Short Rains","Crop_Turnip","9762","3730","Crop_Turnip"
"Tana River","Sub-county_Name_BURA","2004","Autumn","Crop_Garlic","7034","8470","Crop_Garlic"
"Turkana","Sub-county_Name_TURKANA NORTH","2021","Long Rains","Crop_Pigeon Peas","5945","1814","Crop_Pigeon Peas"
"Tharaka Nithi","Sub-county_Name_THARAKA SOUTH","2016","Spring","Crop_Cabbage","2805","8683","Crop_Cabbage"
"Kisumu","Sub-county_Name_NYANDO","2024","Long Rains","Crop_Grapes","209","6039","Crop_Grapes"
"Murang’a","Sub-county_Name_KAHURO","2008","Short Rains","Crop_Ginger","1845","1985","Crop_Ginger"
"Baringo","Sub-county_Name_BARINGO NORTH","2012","Autumn","Crop_Cabbage","8690","3259","Crop_Cabbage"
"Busia","Sub-county_Name_NAMBELE","2024","Long Rains","Crop_Safflower","2924","4463","Crop_Safflower"
"Samburu","Sub-county_Name_SAMBURU NORTH","2005","Long Rains","Crop_Bottle Gourd","5609","6657","Crop_Bottle Gourd"
"Embu","Sub-county_Name_MANYATTA","2000","Long Rains","Crop_Pome Fruit","5824","4338","Crop_Pome Fruit"
"Siaya","Sub-county_Name_UGENYA","2017","Short Rains","Crop_Barley","7709","3456","Crop_Barley"
"Machakos","Sub-county_Name_YATTA","2009","Winter","Crop_Pigeon Peas","8088","6634","Crop_Pigeon Peas"
"Narok","Sub-county_Name_NAROK WEST","2020","Autumn","Crop_Cabbage","9700","8343","Crop_Cabbage"
"Nairobi","Sub-county_Name_DAGORETTI NORTH","2011","Spring","Crop_Other Vegetables","3336","5510","Crop_Other Vegetables"
"Kirinyaga","Sub-county_Name_MWEA EAST","2019","Long Rains","Crop_Onions","9098","1380","Crop_Onions"
"Garissa","Sub-county_Name_FAFI","1999","Autumn","Crop_Mung Beans","3799","7753","Crop_Mung Beans"
